"","times","Day","Month","Date","CO2","Year","wd","Windgeschwindigkeit","Windrichtung","temp","Luftfeuchtigkeit","Bedeckungsgrad","Pressure","Intensity"
"18",0,2,6,"2016-06-02",402.197,2016,"Donnerstag",5,330,-1.6,99,NA,707.4,0.00849344901434248
"405",1,2,6,"2016-06-02",401.947,2016,"Donnerstag",3.8,290,-1.7,100,NA,707,0.00853852180351321
"805",10,2,6,"2016-06-02",400.159,2016,"Donnerstag",3.6,210,0,92,NA,706.8,0.0234960322682707
"1220",11,2,6,"2016-06-02",399.749,2016,"Donnerstag",3.4,240,-0.2,95,NA,706.8,0.0281311277182793
"2233",13,2,6,"2016-06-02",398.498,2016,"Donnerstag",1.7,340,-0.2,98,NA,706.9,0.0303626877360057
"2758",14,2,6,"2016-06-02",398.395,2016,"Donnerstag",1.8,310,0,97,NA,706.9,0.0261519497871691
"3152",15,2,6,"2016-06-02",398.05,2016,"Donnerstag",1.5,360,0.4,96,NA,706.9,0.0215944525612182
"3542",16,2,6,"2016-06-02",397.995,2016,"Donnerstag",0.8,20,-0.2,98,NA,706.9,0.0179366429125678
"3927",17,2,6,"2016-06-02",398.178,2016,"Donnerstag",1.3,10,-0.2,95,NA,707,0.0151999451714738
"4312",18,2,6,"2016-06-02",398.274,2016,"Donnerstag",0.4,360,-0.1,99,NA,707.1,0.0131617452863748
"4697",19,2,6,"2016-06-02",397.819,2016,"Donnerstag",1.2,130,-0.3,99,NA,707.2,0.0116388649978524
"5082",2,2,6,"2016-06-02",401.039,2016,"Donnerstag",3.9,260,-1.9,100,NA,706.8,0.00879528350764607
"5469",20,2,6,"2016-06-02",397.4,2016,"Donnerstag",2.9,130,-0.4,100,NA,707.5,0.0104866956666719
"5854",21,2,6,"2016-06-02",397.856,2016,"Donnerstag",3.3,130,-0.7,98,NA,707.4,0.00965139186189709
"6239",22,2,6,"2016-06-02",398.125,2016,"Donnerstag",3.1,140,-0.7,98,NA,707.4,0.00905413323807981
"6624",23,2,6,"2016-06-02",398.124,2016,"Donnerstag",5,140,-0.9,98,NA,707.3,0.00866981110707329
"7010",3,2,6,"2016-06-02",401.074,2016,"Donnerstag",4.1,250,-1.8,100,NA,706.6,0.0092674673780577
"7397",4,2,6,"2016-06-02",401.676,2016,"Donnerstag",4.8,250,-1.8,100,8,706.5,0.00996672636960091
"7784",5,2,6,"2016-06-02",401.905,2016,"Donnerstag",4.7,240,-1.8,99,8,706.4,0.0109323646372461
"8171",6,2,6,"2016-06-02",401.216,2016,"Donnerstag",5.6,250,-1.7,99,8,706.5,0.0122250748599372
"8559",7,2,6,"2016-06-02",400.731,2016,"Donnerstag",6,240,-1.6,98,7,706.6,0.0139478885090431
"8958",8,2,6,"2016-06-02",400.392,2016,"Donnerstag",5.7,240,-1.5,98,7,706.7,0.0162810667686673
"9377",9,2,6,"2016-06-02",400.291,2016,"Donnerstag",4.1,230,-0.6,98,NA,706.8,0.019395863582599
