times,Day,Month,Date,CO2,Year,wd,Windgeschwindigkeit,Windrichtung,temp,Luftfeuchtigkeit,Bedeckungsgrad,Pressure,Intensity
0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006479889325321299
0,1,2,2016-02-01,405.706,2016,Montag,17.1,330,-3.2,97,NA,705.2,0.006421444387883878
0,1,3,2016-03-01,422.626,2016,Dienstag,8.2,350,-13,88,NA,698.8,0.006649713852466143
0,1,4,2016-04-01,407.274,2016,Freitag,19.1,170,-1.9,76,NA,704.2,0.007104860007099336
0,1,5,2016-05-01,405.205,2016,Sonntag,8.7,130,-6.2,95,NA,702.9,0.007781056732745586
0,1,6,2016-06-01,403.237,2016,Mittwoch,3.9,10,-2.1,99,NA,707.7,0.008474208195249706
0,1,7,2016-07-01,402.07,2016,Freitag,7.2,260,2.4,95,NA,715.9,0.009013273979361042
0,1,8,2016-08-01,396.795,2016,Montag,4.8,350,1.8,100,NA,714,0.009119242287906983
0,1,9,2016-09-01,399.265,2016,Donnerstag,6,340,4,100,NA,719.4,0.008733535942096839
0,1,10,2016-10-01,401.566,2016,Samstag,6.8,170,0.4,97,NA,712.1,0.00805098256490565
0,1,11,2016-11-01,402.472,2016,Dienstag,5.9,320,-0.8,57,NA,716.5,0.0073631203508654885
0,1,12,2016-12-01,404.842,2016,Donnerstag,12.1,350,-9.3,54,NA,712.6,0.006794901791540948
0,2,1,2016-01-02,404.599,2016,Samstag,8.2,250,-6.2,25,NA,706,0.006473050575515415
0,2,2,2016-02-02,404.263,2016,Dienstag,13.3,260,-0.1,15,NA,715.9,0.006423960203967026
0,2,3,2016-03-02,406.648,2016,Mittwoch,8.8,350,-8.3,93,NA,701.2,0.00666113109735241
0,2,4,2016-04-02,406.841,2016,Samstag,10.9,190,-0.5,67,NA,710.6,0.007148545598688979
0,2,5,2016-05-02,402.376,2016,Montag,5.7,80,-6.7,98,NA,707.5,0.007803140416272012
0,2,6,2016-06-02,402.197,2016,Donnerstag,5,330,-1.6,99,NA,707.4,0.008493449014342484
0,2,7,2016-07-02,396.045,2016,Samstag,4.6,260,5.5,100,NA,716.8,0.009024456583355435
0,2,8,2016-08-02,394.888,2016,Dienstag,9.7,250,0,94,NA,715.4,0.009114236854076856
0,2,9,2016-09-02,397.996,2016,Freitag,5.5,330,2.9,100,NA,719.4,0.008715585241811414
0,2,10,2016-10-02,401.885,2016,Sonntag,7.1,170,0.3,100,NA,710.2,0.008011867950801587
0,2,11,2016-11-02,403.063,2016,Mittwoch,11.4,280,-2.1,61,NA,710.2,0.007342292818081529
0,2,12,2016-12-02,405.977,2016,Freitag,10.7,330,-7.7,94,NA,708,0.006780456811008765
0,3,1,2016-01-03,406.677,2016,Sonntag,7.3,360,-10.2,89,NA,698.9,0.006466526234072232
0,3,2,2016-02-03,404.36,2016,Mittwoch,16.4,260,-4.6,43,NA,708.2,0.006427162954473727
