times,Day,Month,Date,CO2,Year,wd,Windgeschwindigkeit,Windrichtung,temp,Luftfeuchtigkeit,Bedeckungsgrad,Pressure,Intensity
0,1,9,2016-09-01,399.265,2016,Donnerstag,6,340,4,100,NA,719.4,0.008733535942096839
0,7,6,2016-06-07,398.157,2016,Dienstag,3.2,110,2.3,80,NA,716.6,0.0085971832321306
0,8,8,2016-08-08,399.615,2016,Montag,5,120,5.4,54,NA,721.3,0.009072705510207519
0,9,9,2016-09-09,398.647,2016,Freitag,2.6,360,3.6,100,NA,716.4,0.008572065251829249
0,23,6,2016-06-23,406.329,2016,Donnerstag,2.9,40,8.3,28,NA,723.3,0.008888414265556812
0,23,8,2016-08-23,396.579,2016,Dienstag,3.2,360,2.1,100,NA,722.2,0.008886762047180023
0,25,7,2016-07-25,397.83,2016,Montag,1.5,140,5.5,99,NA,718.1,0.009137560781098135
0,26,7,2016-07-26,402.411,2016,Dienstag,1.4,50,4.5,95,NA,718.3,0.00913589871599546
0,26,8,2016-08-26,398.942,2016,Freitag,4.5,310,10.7,41,NA,720.9,0.008839185966620712
0,27,7,2016-07-27,400.13,2016,Mittwoch,2.7,340,5.1,74,NA,717.8,0.009133682692834485
0,27,8,2016-08-27,401.297,2016,Samstag,1.8,170,9.4,62,NA,722.1,0.008822393167085094
0,28,7,2016-07-28,397.681,2016,Donnerstag,2.9,330,3.1,100,NA,716.2,0.009130910343703155
0,28,8,2016-08-28,401.562,2016,Sonntag,3.8,240,9.3,65,NA,720.9,0.00880521973234077
0,31,8,2016-08-31,398.831,2016,Mittwoch,5.9,150,4.9,84,NA,719,NA
1,1,9,2016-09-01,399.133,2016,Donnerstag,5.8,340,3.7,87,NA,719.4,0.008745272745225251
1,7,6,2016-06-07,398.727,2016,Dienstag,1.9,130,2.4,82,NA,716.6,0.008644126640888337
1,8,8,2016-08-08,399.771,2016,Montag,4.9,130,5.2,50,NA,721,0.009090495728383809
1,9,9,2016-09-09,399.046,2016,Freitag,3,360,4.2,100,NA,716.1,0.008586372449968627
1,23,6,2016-06-23,406.306,2016,Donnerstag,3,10,8.1,29,NA,723.2,0.008947144831406522
1,23,8,2016-08-23,396.434,2016,Dienstag,4.8,350,2.3,100,NA,722,0.00889805732629993
1,25,7,2016-07-25,397.85,2016,Montag,1.7,120,5.3,99,NA,717.9,0.00916271935035718
1,26,7,2016-07-26,402.407,2016,Dienstag,1.4,360,4.3,100,NA,718.2,0.009160620747073533
1,26,8,2016-08-26,398.614,2016,Freitag,4.7,320,11.2,27,NA,720.7,0.008850776590318955
1,27,7,2016-07-27,400.176,2016,Mittwoch,1.7,330,4.6,81,NA,717.4,0.00915794778632707
1,27,8,2016-08-27,401.336,2016,Samstag,2.7,190,9.2,77,NA,721.9,0.00883398129795391
1,28,7,2016-07-28,395.737,2016,Donnerstag,2.9,350,1.9,100,NA,715.8,0.009154684788044305
1,28,8,2016-08-28,401.027,2016,Sonntag,3.4,280,8.5,75,NA,720.7,0.00881682051610884
1,31,8,2016-08-31,399.025,2016,Mittwoch,4.9,170,5.6,76,NA,718.8,NA
10,1,9,2016-09-01,399.498,2016,Donnerstag,2.2,280,4.2,98,8,720.2,0.024037583599444922
10,7,6,2016-06-07,397.326,2016,Dienstag,2.1,80,4.4,79,5,717.9,0.024182734674749257
10,8,8,2016-08-08,393.58,2016,Montag,1.8,20,6.1,60,1,720.2,0.026317766999953106
10,9,9,2016-09-09,400.319,2016,Freitag,5,140,5.2,92,7,716.8,0.023123751565270332
10,23,8,2016-08-23,395.237,2016,Dienstag,3.9,360,5.9,72,1,723.7,0.024958641980991302
10,25,7,2016-07-25,400.131,2016,Montag,1.1,320,7.2,94,NA,717.9,0.02703561141134401
10,26,7,2016-07-26,401.408,2016,Dienstag,1.6,140,7.6,87,7,718.4,0.02700071779875534
10,27,7,2016-07-27,398.268,2016,Mittwoch,1.7,150,7.4,81,7,717,0.026961877955738633
10,27,8,2016-08-27,401.19,2016,Samstag,4.2,140,11.4,71,1,722,0.024567316583236524
10,28,7,2016-07-28,396.54,2016,Donnerstag,1.9,190,4.5,90,7,716,0.026919268606519834
10,28,8,2016-08-28,404.951,2016,Sonntag,3.7,140,8.4,88,8,720.6,0.024463446215876563
10,NA,NA,2016-06-23,NA,NA,NA,2.5,90,13.2,9,1,723.6,NA
10,NA,NA,2016-08-26,NA,NA,NA,2,310,11.6,33,1,721.6,NA
10,NA,NA,2016-08-31,NA,NA,NA,4.2,140,6.8,84,3,719.5,NA
11,1,9,2016-09-01,399.427,2016,Donnerstag,1.7,330,4.2,100,NA,720.2,0.029468685408231488
11,7,6,2016-06-07,397.742,2016,Dienstag,2.6,120,3.9,83,6,718,0.02924315564824668
11,8,8,2016-08-08,398.514,2016,Montag,1.9,300,7.4,52,1,720.2,0.03349982073648743
11,9,9,2016-09-09,399.913,2016,Freitag,4.5,140,5.9,91,7,716.9,0.027970901601198847
11,23,6,2016-06-23,406.206,2016,Donnerstag,2.4,110,13.1,35,1,723.8,0.03249736461552854
11,23,8,2016-08-23,394.708,2016,Dienstag,3.8,10,6.6,70,1,723.8,0.031143288698377406
11,25,7,2016-07-25,400.131,2016,Montag,1.3,330,5.6,96,7,718,0.03469317670692873
11,26,7,2016-07-26,401.125,2016,Dienstag,1.3,110,6.6,90,7,718.4,0.03463636308718435
11,27,7,2016-07-27,397.789,2016,Mittwoch,2.1,180,8.1,79,7,716.8,0.03457297691717101
11,27,8,2016-08-27,401.098,2016,Samstag,4.6,140,11.6,68,2,721.9,0.030437430571770344
11,28,7,2016-07-28,396.518,2016,Donnerstag,2,270,4.3,95,7,715.9,0.03450316636268369
11,28,8,2016-08-28,405.265,2016,Sonntag,3.5,150,10.3,78,6,720.5,0.030263317614454773
11,NA,NA,2016-08-26,NA,NA,NA,2.2,170,12.9,59,1,721.8,NA
11,NA,NA,2016-08-31,NA,NA,NA,2.7,150,8.1,78,4,719.7,NA
12,NA,NA,2016-08-23,NA,NA,NA,3.9,10,6.7,61,1,723.9,NA
12,NA,NA,2016-07-25,NA,NA,NA,1.7,10,6.3,84,7,717.9,NA
12,NA,NA,2016-07-26,NA,NA,NA,1.3,130,6,88,8,718.4,NA
12,NA,NA,2016-06-23,NA,NA,NA,3,130,13.1,41,1,723.6,NA
12,NA,NA,2016-07-27,NA,NA,NA,2.1,230,7.6,86,7,716.7,NA
12,NA,NA,2016-06-07,NA,NA,NA,2.3,120,3.6,84,7,717.9,NA
12,NA,NA,2016-07-28,NA,NA,NA,2.3,330,3.7,100,7,715.9,NA
12,NA,NA,2016-08-08,NA,NA,NA,2.3,280,7,75,1,720.3,NA
12,NA,NA,2016-09-09,NA,NA,NA,4.6,140,5.5,94,7,717,NA
12,NA,NA,2016-08-26,NA,NA,NA,3.3,160,13.2,66,1,722,NA
12,NA,NA,2016-08-28,NA,NA,NA,2.9,160,10.7,75,6,720.4,NA
12,NA,NA,2016-08-31,NA,NA,NA,2,160,7.2,84,4,719.7,NA
12,NA,NA,2016-08-27,NA,NA,NA,4.7,140,11.7,82,4,721.9,NA
12,NA,NA,2016-09-01,NA,NA,NA,2.4,330,4.2,100,NA,720.1,NA
13,1,9,2016-09-01,398.135,2016,Donnerstag,2.7,310,4.1,100,NA,719.9,0.033637616656496276
13,7,6,2016-06-07,398.519,2016,Dienstag,1.3,40,3.2,79,7,718,0.03166040407671905
13,8,8,2016-08-08,394.065,2016,Montag,2,340,7,75,1,720.3,0.03920038740809607
13,9,9,2016-09-09,398.778,2016,Freitag,4,140,6.3,88,7,716.9,0.03135518720030449
13,23,6,2016-06-23,406.259,2016,Donnerstag,3.3,140,12.8,43,1,723.7,0.03580295703525746
13,23,8,2016-08-23,393.412,2016,Dienstag,4.3,10,7.3,47,1,723.9,0.03602103484744211
13,25,7,2016-07-25,399.755,2016,Montag,1.7,350,6,91,7,718,0.040315482044123455
13,26,7,2016-07-26,400.741,2016,Dienstag,1.2,360,5.6,86,7,718.3,0.040293112228344835
13,26,8,2016-08-26,401.78,2016,Freitag,3.9,150,12,75,1,722.1,0.0352559941661802
13,27,7,2016-07-27,396.839,2016,Mittwoch,1.9,230,6,97,7,716.4,0.04025995987539117
13,27,8,2016-08-27,401.391,2016,Samstag,3.1,140,11.5,85,5,721.8,0.034991538857159686
13,28,7,2016-07-28,394.37,2016,Donnerstag,2.3,310,4.2,100,NA,715.9,0.040216026396211656
13,28,8,2016-08-28,404.169,2016,Sonntag,2.6,170,9.7,86,6,720.2,0.03472391667024284
