"","times","Day","Month","Date","CO2","Year","wd","Windgeschwindigkeit","Windrichtung","temp","Luftfeuchtigkeit","Bedeckungsgrad","Pressure","Intensity"
"2",0,7,6,"2016-06-07",398.157,2016,"Dienstag",3.2,110,2.3,80,NA,716.6,0.0085971832321306
"16",1,7,6,"2016-06-07",398.727,2016,"Dienstag",1.9,130,2.4,82,NA,716.6,0.00864412664088834
"170",2,7,6,"2016-06-07",398.356,2016,"Dienstag",0.7,230,2,86,NA,716.5,0.00890281964383994
"240",3,7,6,"2016-06-07",397.959,2016,"Dienstag",2,210,2.1,80,NA,716.3,0.00938216630611574
"254",4,7,6,"2016-06-07",398.067,2016,"Dienstag",1.2,250,2.7,74,1,716.5,0.0100975569077044
"268",5,7,6,"2016-06-07",397.873,2016,"Dienstag",2.2,340,2.6,80,1,716.7,0.0110700230818745
"282",6,7,6,"2016-06-07",397.993,2016,"Dienstag",2.5,350,2.7,82,1,717,0.0123726017846761
"296",7,7,6,"2016-06-07",398.075,2016,"Dienstag",2.8,360,2.2,85,1,717.2,0.0141733299669644
"310",8,7,6,"2016-06-07",398.305,2016,"Dienstag",2.1,10,2.3,89,2,717.4,0.0165693630679296
"324",9,7,6,"2016-06-07",397.591,2016,"Dienstag",1.8,10,2.7,73,3,717.7,0.0198336267755451
"30",10,7,6,"2016-06-07",397.326,2016,"Dienstag",2.1,80,4.4,79,5,717.9,0.0241827346747493
"44",11,7,6,"2016-06-07",397.742,2016,"Dienstag",2.6,120,3.9,83,6,718,0.0292431556482467
"62",12,NA,NA,"2016-06-07",NA,NA,NA,2.3,120,3.6,84,7,717.9,NA
"72",13,7,6,"2016-06-07",398.519,2016,"Dienstag",1.3,40,3.2,79,7,718,0.0316604040767191
"86",14,7,6,"2016-06-07",399.286,2016,"Dienstag",1.4,360,3.6,73,7,717.7,0.0269852785479262
"100",15,7,6,"2016-06-07",399.072,2016,"Dienstag",1.6,130,3.9,84,7,717.6,0.0221303731147531
"114",16,7,6,"2016-06-07",399.313,2016,"Dienstag",2.1,20,3.7,81,6,717.5,0.0182747509110323
"128",17,7,6,"2016-06-07",399.71,2016,"Dienstag",1.3,30,3.6,91,7,717.3,0.0154973585043706
"142",18,7,6,"2016-06-07",399.903,2016,"Dienstag",1,20,3,89,6,717.5,0.0133256393151678
"156",19,7,6,"2016-06-07",399.871,2016,"Dienstag",1.7,350,2.4,85,6,717.4,0.0117732087202866
"184",20,7,6,"2016-06-07",400.352,2016,"Dienstag",2.1,320,2.4,85,NA,717.6,0.0106141815341319
"198",21,7,6,"2016-06-07",400.686,2016,"Dienstag",3.1,330,2.1,79,NA,717.6,0.00977242352282928
"212",22,7,6,"2016-06-07",400.106,2016,"Dienstag",2.8,330,1.7,97,NA,717.6,0.00915645671346727
"226",23,7,6,"2016-06-07",400.424,2016,"Dienstag",1.6,340,1.4,87,NA,717.1,0.00878183076112212
"5",0,23,6,"2016-06-23",406.329,2016,"Donnerstag",2.9,40,8.3,28,NA,723.3,0.00888841426555681
