1/2
www.sonnenverlauf.de [Druckversion] Torsten Hoffmann
Tagesdaten fr: 82467 Garmisch-Partenkirchen, Deutschland
  lat: 47.42107, lon: 10.98537, am 25.Apr.2018
   
Uhrzeit  Azimut      Altitude   Schattenlnge (Objekthhe: 1m)
06:00 67.53 -1.70 n/a
06:15 70.31 0.46 123.78m
06:30 73.06 2.65 21.64m
06:45 75.77 5.00 11.43m
07:00 78.47 7.43 7.67m
07:15 81.17 9.90 5.73m
07:30 83.86 12.40 4.55m
07:45 86.57 14.92 3.75m
08:00 89.30 17.45 3.18m
08:15 92.07 19.98 2.75m
08:30 94.89 22.51 2.41m
08:45 97.77 25.03 2.14m
09:00 100.73 27.54 1.92m
09:15 103.79 30.01 1.73m
09:30 106.96 32.46 1.57m
09:45 110.26 34.87 1.44m
10:00 113.71 37.22 1.32m
10:15 117.33 39.51 1.21m
10:30 121.15 41.73 1.12m
10:45 125.20 43.85 1.04m
11:00 129.49 45.87 0.97m
11:15 134.05 47.77 0.91m
11:30 138.89 49.52 0.85m
11:45 144.05 51.10 0.81m
12:00 149.50 52.49 0.77m
12:15 155.25 53.67 0.74m
12:30 161.28 54.62 0.71m
12:45 167.52 55.30 0.69m
13:00 173.93 55.71 0.68m
13:15 180.41 55.84 0.68m
13:30 186.90 55.68 0.68m
13:45 193.29 55.24 0.69m
14:00 199.51 54.53 0.71m
14:15 205.51 53.56 0.74m
14:30 211.23 52.36 0.77m
14:45 216.66 50.95 0.81m
15:00 221.77 49.34 0.86m
15:15 226.59 47.58 0.91m
15:30 231.12 45.67 0.98m
15:45 235.39 43.64 1.05m
16:00 239.41 41.51 1.13m
16:15 243.21 39.29 1.22m
16:30 246.81 36.99 1.33m
16:45 250.25 34.63 1.45m
17:00 253.53 32.23 1.59m
17:15 256.69 29.78 1.75m
17:30 259.74 27.30 1.94m
17:45 262.69 24.80 2.16m
18:00 265.57 22.28 2.44m
18:15 268.38 19.76 2.78m
18:30 271.15 17.23 3.22m
18:45 273.88 14.71 3.81m
19:00 276.59 12.20 4.63m
19:15 279.29 9.70 5.85m
19:30 281.99 7.24 7.87m
19:45 284.69 4.82 11.85m
20:00 287.41 2.48 23.05m
20:15 290.16 0.33 175.39m
20:30 292.95 -1.88 n/a
